id,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,VALUE_sum,Longitude,Latitude
hex_alex_centroids.278,,,,,,,-1,0,-1,,,0.000331,29.664,30.435
hex_alex_centroids.279,,,,,,,-1,0,-1,,,74.525131,29.651,31.013
hex_alex_centroids.280,,,,,,,-1,0,-1,,,5.102226,29.652,30.986
hex_alex_centroids.281,,,,,,,-1,0,-1,,,514.613281,29.652,30.979
hex_alex_centroids.282,,,,,,,-1,0,-1,,,556.160522,29.652,30.972
hex_alex_centroids.283,,,,,,,-1,0,-1,,,144.355942,29.652,30.965
hex_alex_centroids.284,,,,,,,-1,0,-1,,,55.077648,29.653,30.952
hex_alex_centroids.285,,,,,,,-1,0,-1,,,81.779747,29.653,30.945
hex_alex_centroids.286,,,,,,,-1,0,-1,,,24.793867,29.653,30.938
hex_alex_centroids.287,,,,,,,-1,0,-1,,,45.193146,29.653,30.932
hex_alex_centroids.288,,,,,,,-1,0,-1,,,27.236647,29.654,30.918
hex_alex_centroids.289,,,,,,,-1,0,-1,,,3.789195,29.654,30.911
hex_alex_centroids.290,,,,,,,-1,0,-1,,,1.4e-05,29.654,30.905
hex_alex_centroids.291,,,,,,,-1,0,-1,,,5.1e-05,29.655,30.898
hex_alex_centroids.292,,,,,,,-1,0,-1,,,22.713295,29.655,30.884
hex_alex_centroids.293,,,,,,,-1,0,-1,,,33.354317,29.655,30.878
hex_alex_centroids.294,,,,,,,-1,0,-1,,,3.6e-05,29.656,30.871
hex_alex_centroids.295,,,,,,,-1,0,-1,,,1.390822,29.656,30.864
hex_alex_centroids.296,,,,,,,-1,0,-1,,,0.852054,29.656,30.857
hex_alex_centroids.297,,,,,,,-1,0,-1,,,10.171285,29.656,30.844
hex_alex_centroids.298,,,,,,,-1,0,-1,,,1.05543,29.657,30.837
hex_alex_centroids.299,,,,,,,-1,0,-1,,,0.114061,29.657,30.83
hex_alex_centroids.300,,,,,,,-1,0,-1,,,1.825008,29.658,30.803
hex_alex_centroids.301,,,,,,,-1,0,-1,,,2.147245,29.658,30.797
hex_alex_centroids.302,,,,,,,-1,0,-1,,,330.285156,29.659,30.77
hex_alex_centroids.303,,,,,,,-1,0,-1,,,17.996174,29.659,30.763
hex_alex_centroids.304,,,,,,,-1,0,-1,,,8.348489,29.659,30.756
hex_alex_centroids.305,,,,,,,-1,0,-1,,,0.000369,29.66,30.736
hex_alex_centroids.306,,,,,,,-1,0,-1,,,1.011247,29.66,30.729
hex_alex_centroids.307,,,,,,,-1,0,-1,,,0.644197,29.661,30.722
hex_alex_centroids.308,,,,,,,-1,0,-1,,,0.00212,29.661,30.702
hex_alex_centroids.309,,,,,,,-1,0,-1,,,0.006598,29.662,30.695
hex_alex_centroids.310,,,,,,,-1,0,-1,,,1.5e-05,29.662,30.682
hex_alex_centroids.311,,,,,,,-1,0,-1,,,8.5e-05,29.663,30.655
hex_alex_centroids.312,,,,,,,-1,0,-1,,,0.000164,29.671,30.418
hex_alex_centroids.313,,,,,,,-1,0,-1,,,2e-06,29.67,30.413
hex_alex_centroids.314,,,,,,,-1,0,-1,,,139.000153,29.657,31.037
hex_alex_centroids.315,,,,,,,-1,0,-1,,,249.093719,29.657,31.03
hex_alex_centroids.316,,,,,,,-1,0,-1,,,513.50885,29.657,31.023
hex_alex_centroids.317,,,,,,,-1,0,-1,,,8e-06,29.658,31.003
hex_alex_centroids.318,,,,,,,-1,0,-1,,,0.068085,29.658,30.996
hex_alex_centroids.319,,,,,,,-1,0,-1,,,85.208672,29.659,30.962
hex_alex_centroids.320,,,,,,,-1,0,-1,,,204.747787,29.659,30.956
hex_alex_centroids.321,,,,,,,-1,0,-1,,,6.389927,29.66,30.935
hex_alex_centroids.322,,,,,,,-1,0,-1,,,7e-06,29.66,30.929
hex_alex_centroids.323,,,,,,,-1,0,-1,,,5e-06,29.661,30.922
hex_alex_centroids.324,,,,,,,-1,0,-1,,,0.387538,29.661,30.915
hex_alex_centroids.325,,,,,,,-1,0,-1,,,0.410971,29.661,30.901
hex_alex_centroids.326,,,,,,,-1,0,-1,,,0.003347,29.661,30.895
hex_alex_centroids.327,,,,,,,-1,0,-1,,,15.291547,29.662,30.888
hex_alex_centroids.328,,,,,,,-1,0,-1,,,42.130646,29.662,30.881
hex_alex_centroids.329,,,,,,,-1,0,-1,,,0.708644,29.662,30.868
hex_alex_centroids.330,,,,,,,-1,0,-1,,,1.120381,29.663,30.861
